Fault,Model,Accuracy,Precision,Recall,F1
Pitch,VAE,0.7838,0.5062,1.0000,0.6721
Imbalance,VAE,0.8588,1.0000,0.8567,0.9228
Icing,VAE,1.0000,1.0000,1.0000,1.0000
Pitch,AE,0.7622,0.4824,1.0000,0.6508
Imbalance,AE,0.8692,1.0000,0.8673,0.9289
Icing,AE,1.0000,1.0000,1.0000,1.0000
Pitch,LSTM,0.7676,0.4881,1.0000,0.6560
Imbalance,LSTM,0.8474,1.0000,0.8452,0.9161
Icing,LSTM,0.9977,0.9976,1.0000,0.9988
Pitch,IF,0.9081,0.7069,1.0000,0.8283
Imbalance,IF,0.8739,1.0000,0.8721,0.9317
Icing,IF,0.9977,1.0000,0.9976,0.9988
